k,Mean MSE,Mean MAE,Mean R²,Validation Mean MSE,Validation Mean MAE,Validation Mean R²,Test Mean MSE,Test Mean MAE,Test Mean R²
3000,80335.52806332237,208.43309904399672,-0.14731671203646743,68762.51058799343,193.93805413497122,-0.09519396957598235,178.63514508699117,70652.37314967105,0.08415784647590235
5000,67821.27788397606,192.42728813658368,0.06932185368334993,66889.02947998047,197.9351522922516,-0.00906006433069706,184.2503571510315,56212.34014892578,0.26465412974357605
