k,Mean MSE,Mean MAE,Mean R²,Validation Mean MSE,Validation Mean MAE,Validation Mean R²,Test Mean MSE,Test Mean MAE,Test Mean R²
3000,61474.28126600477,187.55417358398438,-1.916374496486452,67868.36923014323,187.83300099690754,-1.9880033183097838,148.90008829752605,43323.01928385417,-0.3475558042526245
5000,67887.55229866537,192.79115030924478,-2.208239645957947,57870.16662695313,179.3334538574219,-2.7191318795681,130.45711212158204,35018.23607763672,-0.5503243844509125
